RPM	Drehmoment[Nm]
1246	512
1296	519
1346	524
1396	524
1446	518
1496	517
1549	513
1599	504
1647	494
1697	485
1747	476
1795	468
1847	464
1897	445
1947	433
1999	417
2047	399
2095	387
2148	374
2198	354
2246	336
2272	337
2298	333
2308	328
2322	323
2334	312
2348	242
2364	179
2374	131
2388	75
2398	66
2402	28
