RPM	Drehmoment[Nm]
2200	0
2182	27
2165	36
2158	45
2154	50
2151	60
2147	69
2140	75
2137	93
2129	107
2122	120
2119	135
2112	151
2108	162
2105	167
2087	178
2066	182
2041	185
2020	188
1996	190
1974	193
1950	196
1932	198
1907	201
1886	203
1869	205
1844	208
1833	208
1812	210
1795	212
1777	214
1749	216
1728	218
1692	219
1661	222
1629	223
1583	225
1527	228
1453	229
1357	230
1206	231
973	202
952	144
