RPM	Drehmoment[Nm]
2297	0
2274	50
2258	68
2231	103
2216	131
2200	155
2192	168
2181	195
2169	204
2165	220
2154	231
2146	255
2138	265
2119	282
2111	292
2096	314
2073	341
2061	362
2042	385
2027	397
2019	405
1999	416
1988	421
1961	428
1942	433
1922	436
1899	438
1880	440
1861	450
1822	455
1768	457
1702	461
1637	463
1567	466
1494	467
1417	469
1320	469
1255	469
1173	468
1100	463
1081	454
