,Zeit,Ch1,RPM-Value
0,44.71598146,0.093248788,1350.0
1,44.86704896,0.707334441,1349.8859046765144
2,45.01811647,0.545929267,1349.7721242716993
3,45.16918397,0.980299074,1349.658658785555
4,45.32025148,0.874504086,1349.5455082180813
5,45.47131898,1.328201824,1349.432672569278
6,45.62238649,1.039978298,1349.3201518391454
7,45.77345399,0.994540707,1349.2079460276836
8,45.9245215,0.828727408,1349.0960551348924
9,46.075589,0.249906751,1348.9844791607716
10,46.22665651,-0.045437591,1348.8732181053215
11,46.37772401,0.795836018,1348.762271968542
12,46.52879152,0.928079753,1348.6516407504334
13,46.67985902,0.380115968,1348.5413244509946
14,46.83092653,-0.087484317,1348.4313230702273
15,46.98199403,0.16954325,1348.3216366081303
16,47.13306154,1.150859584,1348.2122650647036
17,47.28412904,0.302126072,1348.103208439948
18,47.43519655,-0.238716897,1347.9944667338632
19,47.58626405,-0.281780882,1347.8860399464481
20,47.73733156,1.673052796,1347.7779280777042
21,47.88839906,-0.278729104,1347.670131127631
22,48.03946657,-0.27330372,1347.5626490962286
23,48.19053407,1.321420094,1347.4554819834962
24,48.34160158,0.242107762,1347.348629789435
25,48.49266908,-0.298735207,1347.2420925140439
26,48.64373659,-0.113254891,1347.135870157324
27,48.79480409,0.980299074,1347.0299627192742
28,48.9458716,-0.285171747,1346.9243701998953
29,49.0969391,-0.230917907,1346.8190925991867
30,49.24800661,1.796819369,1346.7141299171487
31,49.39907411,0.180733105,1346.6094821537818
32,49.55014162,-0.311959581,1346.5051493090853
33,49.70120912,1.573022278,1346.4011313830595
34,49.85227663,-0.102065037,1346.2974283757042
35,50.00334413,-0.297378861,1346.1940402870193
36,50.15441164,0.73751314,1346.090967117005
37,50.30547914,1.304804856,1345.9882088656616
38,50.45654665,-0.295344342,1345.8857655329891
39,50.60761415,0.944016819,1345.7836371189867
40,50.75868166,1.454002916,1345.681823623655
41,50.90974916,-0.299074294,1345.580325046994
42,51.06081667,0.251602184,1345.4791413890036
43,51.21188417,1.070156997,1345.378272649684
44,51.36295168,-0.302126072,1345.2777188290347
45,51.51401918,-0.287545353,1345.177479927056
46,51.66508669,1.884642772,1345.0775559437482
47,51.81615419,-0.304838764,1344.977946879111
48,51.9672217,-0.038994948,1344.8786527331442
49,52.1182892,1.084059544,1344.7796735058478
50,52.26935671,-0.313655013,1344.6810091972227
51,52.42042421,-0.016954325,1344.5826598072676
52,52.57149172,0.69478824,1344.4846253359835
53,52.72255922,-0.323827608,1344.38690578337
54,52.87362673,0.685293818,1344.2895011494265
55,53.02469423,0.461835814,1344.1924114341543
56,53.17576174,-0.307890543,1344.0956366375526
57,53.32682924,2.045030687,1343.9991767596216
58,53.47789675,-0.256688481,1343.9030318003608
59,53.62896425,-0.30619511,1343.8072017597708
60,53.78003176,0.773456309,1343.7116866378515
61,53.93109926,0.990132583,1343.6164864346028
62,54.08216677,-0.299074294,1343.521601150025
63,54.23323427,1.138991557,1343.4270307841175
64,54.38430178,0.978942728,1343.3327753368808
65,54.53536928,-0.300769726,1343.238834808314
66,54.68643679,0.174629548,1343.1452091984186
67,54.83750429,0.547624699,1343.0518985071935
68,54.98857179,-0.342138279,1342.9589027346394
69,55.1396393,2.4014106,1342.8662218807553
70,55.2907068,0.655793293,1342.7738559455424
71,55.44177431,-0.324844868,1342.6818049289996
72,55.59284181,1.596758333,1342.5900688311274
73,55.74390932,0.406564715,1342.4986476519264
74,55.89497682,-0.305516937,1342.4075413913959
75,56.04604433,-0.176324981,1342.3167500495356
76,56.19711183,0.502187108,1342.2262736263463
77,56.34817934,-0.304499678,1342.1361121218274
78,56.49924684,0.147841714,1342.046265535979
79,56.65031435,2.128785053,1341.9567338688012
80,56.80138185,-0.311620494,1341.8675171202945
81,56.95244936,-0.029500526,1341.7786152904578
82,57.10351686,2.083347462,1341.690028379292
83,57.25458437,-0.0552711,1341.601756386797
84,57.40565187,-0.296022515,1341.5137993129724
85,57.55671938,2.383439015,1341.4261571578184
86,57.70778688,0.441490624,1341.3388299213352
87,57.85885439,-0.298396121,1341.2518176035223
88,58.00992189,1.985012377,1341.1651202043804
89,58.1609894,0.869417788,1341.0787377239085
90,58.3120569,-0.30619511,1340.992670162108
91,58.46312441,0.376386016,1340.9069175189777
92,58.61419191,1.565901461,1340.8214797945182
93,58.76525942,-0.300769726,1340.736356988729
94,58.91632692,-0.301786986,1340.6515491016105
95,59.06739443,2.258316096,1340.5670561331629
96,59.21846193,0.131565562,1340.4828780833857
97,59.36952944,-0.245498627,1340.3990149522792
98,59.52059694,-0.026448747,1340.315466739843
99,59.67166445,1.958224543,1340.232233446078
100,59.82273195,0.910786342,1340.149315070983
101,59.97379946,-0.220067139,1340.066711614559
102,60.12486696,0.019327931,1339.9844230768056
103,60.27593447,1.562510596,1339.9024494577227
104,60.42700197,2.091146451,1339.8207907573105
105,60.57806948,-0.011528941,1339.7394469755686
106,60.72913698,-0.258383914,1339.6584181124977
107,60.88020449,-0.194296565,1339.5777041680972
108,61.03127199,2.02536367,1339.4973051423674
109,61.1823395,1.976535214,1339.4172210353083
110,61.333407,-0.08816249,1339.3374518469197
111,61.48447451,-0.283815401,1339.2579975772016
112,61.63554201,1.554033434,1339.1788582261545
113,61.78660952,1.02912753,1339.1000337937778
114,61.93767702,-0.276355498,1339.0215242800716
115,62.08874453,0.421823607,1338.9433296850361
116,62.23981203,1.718829473,1338.8654500086711
117,62.39087954,0.632396324,1338.7878852509766
118,62.54194704,-0.262792038,1338.710635411953
119,62.69301455,-0.105116815,1338.6337004916002
120,62.84408205,1.136617951,1338.5570804899178
121,62.99514956,1.265131735,1338.480775406906
122,63.14621706,-0.200739209,1338.4047852425651
123,63.29728457,-0.135973687,1338.3291099968942
124,63.44835207,0.04170764,1338.2537496698942
125,63.59941958,2.078600251,1338.178704261565
126,63.75048708,-0.030517785,1338.103973771906
127,63.90155459,-0.192940219,1338.0295582009182
128,64.05262209,-0.013224374,1337.9554575486004
129,64.2036896,1.988064155,1337.8816718149537
130,64.3547571,-0.165813299,1337.8082009999773
131,64.50582461,-0.292292564,1337.7350451036718
132,64.65689211,0.0678173,1337.6622041260368
133,64.80795962,1.861923977,1337.5896780670723
134,64.95902712,0.225153437,1337.5174669267788
135,65.11009463,-0.29263165,1337.4455707051554
136,65.26116213,0.144450849,1337.373989402203
137,65.41222964,2.110474382,1337.3027230179207
138,65.56329714,0.464887593,1337.2317715523095
139,65.71436465,-0.293987996,1337.1611350053688
140,65.86543215,0.031195958,1337.0908133770986
141,66.01649965,1.338713506,1337.020806667499
142,66.16756716,-0.290258045,1336.9511148765703
143,66.31863466,-0.27330372,1336.881738004312
144,66.46970217,2.198636872,1336.8126760507243
145,66.62076967,0.008816249,1336.7439290158072
146,66.77183718,-0.301786986,1336.6754968995608
147,66.92290468,0.695466413,1336.6073797019853
148,67.07397219,2.342070462,1336.5395774230801
149,67.22503969,-0.29263165,1336.4720900628454
150,67.3761072,-0.299752467,1336.4049176212816
151,67.5271747,1.618798956,1336.338060098388
152,67.67824221,-0.303482418,1336.2715174941652
153,67.82930971,-0.288562612,1336.205289808613
154,67.98037722,2.1552338,1336.1393770417314
155,68.13144472,0.231256994,1336.0737791935207
156,68.28251223,-0.282798142,1336.0084962639808
157,68.43357973,0.603913058,1335.943528253111
158,68.58464724,2.0195992,1335.8788751609115
159,68.73571474,1.164423044,1335.8145369873835
160,68.88678225,-0.287884439,1335.7505137325254
161,69.03784975,-0.111559459,1335.6868053963385
162,69.18891726,2.081991116,1335.6234119788219
163,69.33998476,1.108473772,1335.560333479976
164,69.49105227,-0.251263097,1335.4975698998005
165,69.64211977,0.250584924,1335.4351212382958
166,69.79318728,1.608287274,1335.3729874954613
167,69.94425478,1.113560069,1335.3111686712982
168,70.09532229,-0.080024414,1335.2496647658054
169,70.24638979,-0.289918958,1335.188475778983
170,70.3974573,0.160048828,1335.1276017108312
171,70.5485248,2.131497745,1335.0670425613503
172,70.69959231,0.097995999,1335.0067983305398
173,70.85065981,-0.258723,1334.9468690183999
174,71.00172732,-0.048828456,1334.8872546249306
175,71.15279482,1.95754637,1334.8279551501323
176,71.30386233,1.626937032,1334.768970594004
177,71.45492983,-0.209894544,1334.7103009565467
178,71.60599734,-0.260757519,1334.6519462377603
179,71.75706484,0.393001255,1334.5939064376441
180,71.90813235,1.746973653,1334.5361815561985
181,72.05919985,1.154589536,1334.4787715934237
182,72.21026736,-0.119019362,1334.4216765493193
183,72.36133486,-0.210911804,1334.3648964238857
184,72.51240237,-0.11630667,1334.3084312171227
185,72.66346987,1.346512495,1334.2522809290303
186,72.81453738,1.603200977,1334.1964455596085
187,72.96560488,1.170865688,1334.1409251088573
188,73.11667239,-0.029500526,1334.0857195767767
189,73.26773989,-0.181072192,1334.0308289633663
190,73.4188074,1.010138686,1333.9762532686273
191,73.5698749,1.537079109,1333.9219924925585
192,73.72094241,0.992506188,1333.8680466351605
193,73.87200991,-0.038655861,1333.8144156964324
194,74.02307742,-0.209216371,1333.761099676376
195,74.17414492,0.966735614,1333.7080985749897
196,74.32521243,1.73951375,1333.655412392274
197,74.47627993,0.595435896,1333.6030411282288
198,74.62734744,-0.126140178,1333.5509847828544
199,74.77841494,-0.173273202,1333.4992433561508
200,74.92948245,0.894171103,1333.4478168481173
201,75.08054995,1.827337154,1333.3967052587548
202,75.23161746,1.740870096,1333.3459085880631
