,Zeit,Ch1,RPM-Value
0,99.99343578,0.126140178,1400.0
1,100.1444833,0.153267098,1400.2287282708144
2,100.2955308,0.35570174,1400.4574565416285
3,100.4465782,0.505577973,1400.686184812443
4,100.5976257,0.152928012,1400.914913083257
5,100.7486732,0.188193008,1401.1436413540714
6,100.8997207,0.437421586,1401.3723696248856
7,101.0507682,0.543216575,1401.6010978957
8,101.2018157,0.28584992,1401.8298261665143
9,101.3528632,0.204808247,1402.0585544373284
10,101.5039106,0.355023567,1402.2872827081428
11,101.6549581,0.474042928,1402.516010978957
12,101.8060056,0.416059137,1402.7447392497713
13,101.9570531,0.123766573,1402.9734675205855
14,102.1081006,0.323149435,1403.2021957913998
15,102.2591481,0.428944424,1403.430924062214
16,102.4101956,0.542877488,1403.6596523330284
17,102.561243,0.320436743,1403.8883806038427
18,102.7122905,0.187514835,1404.1171088746569
19,102.863338,0.364178902,1404.3458371454713
20,103.0143855,0.434708894,1404.5745654162854
21,103.165433,0.32755756,1404.8032936870998
22,103.3164805,0.284493574,1405.032021957914
23,103.467528,0.263470211,1405.2607502287283
24,103.6185754,0.37502967,1405.4894784995427
25,103.7696229,0.59306229,1405.7182067703568
26,103.9206704,0.458444949,1405.9469350411712
27,104.0717179,0.337730155,1406.1756633119853
28,104.2227654,0.277711844,1406.4043915827997
29,104.3738129,0.452680479,1406.6331198536138
30,104.5248604,0.466243939,1406.8618481244282
31,104.6759079,0.387236784,1407.0905763952424
32,104.8269553,0.194296565,1407.3193046660567
33,104.9780028,0.348580923,1407.548032936871
34,105.1290503,0.521515038,1407.7767612076852
35,105.2800978,0.529992201,1408.0054894784996
36,105.4311453,0.363161643,1408.2342177493138
37,105.5821928,0.110881286,1408.4629460201281
38,105.7332403,0.352310875,1408.6916742909423
39,105.8842877,0.452341392,1408.9204025617566
40,106.0353352,0.504221627,1409.149130832571
41,106.1863827,0.304160591,1409.3778591033852
42,106.3374302,0.295005256,1409.6065873741995
43,106.4884777,0.377064189,1409.8353156450137
44,106.6395252,0.472347496,1410.064043915828
45,106.7905727,0.288562612,1410.2927721866422
46,106.9416201,0.227187956,1410.5215004574566
47,107.0926676,0.285171747,1410.7502287282707
48,107.2437151,0.398426639,1410.978956999085
49,107.3947626,0.453019565,1411.2076852698995
50,107.5458101,0.282459055,1411.4364135407136
51,107.6968576,0.206164593,1411.665141811528
52,107.8479051,0.418771829,1411.8938700823421
53,107.9989525,0.465565766,1412.1225983531565
54,108.15,0.350276355,1412.3513266239706
55,108.3010475,0.295683429,1412.580054894785
56,108.452095,0.267878336,1412.8087831655994
57,108.6031425,0.503543454,1413.0375114364135
58,108.75419,0.444542403,1413.266239707228
59,108.9052375,0.330609338,1413.494967978042
60,109.0562849,0.262792038,1413.7236962488564
61,109.2073324,0.366213421,1413.9524245196706
62,109.3583799,0.500152589,1414.181152790485
63,109.5094274,0.424197213,1414.409881061299
64,109.6604749,0.230239734,1414.6386093321134
65,109.8115224,0.306534197,1414.8673376029278
66,109.9625699,0.403512936,1415.096065873742
67,110.1136174,0.447594181,1415.3247941445563
68,110.2646648,0.348580923,1415.5535224153705
69,110.4157123,0.163439693,1415.7822506861849
70,110.5667598,0.330270252,1416.010978956999
71,110.7178073,0.513037876,1416.2397072278134
72,110.8688548,0.565596284,1416.4684354986277
73,111.0199023,0.22481435,1416.6971637694419
74,111.1709498,0.171916856,1416.9258920402563
75,111.3219972,0.298735207,1417.1546203110704
76,111.4730447,0.541860229,1417.3833485818848
77,111.6240922,0.276694585,1417.612076852699
78,111.7751397,0.249228578,1417.8408051235133
79,111.9261872,0.286528093,1418.0695333943274
80,112.0772347,0.414024618,1418.2982616651418
81,112.2282822,0.530331288,1418.5269899359562
82,112.3793296,0.196331084,1418.7557182067703
83,112.5303771,0.189210268,1418.9844464775847
84,112.6814246,0.298396121,1419.2131747483988
85,112.8324721,0.5601709,1419.4419030192132
86,112.9835196,0.391983995,1419.6706312900274
87,113.1345671,0.281441796,1419.8993595608417
88,113.2856146,0.213624496,1420.128087831656
89,113.436662,0.460818555,1420.3568161024702
90,113.5877095,0.399782985,1420.5855443732846
91,113.738757,0.153606185,1420.8142726440988
92,113.8898045,0.194635652,1421.0430009149131
93,114.040852,0.287206266,1421.2717291857273
94,114.1918995,0.516089654,1421.5004574565417
95,114.342947,0.430639856,1421.7291857273558
96,114.4939944,0.233630599,1421.9579139981702
97,114.6450419,0.226848869,1422.1866422689845
98,114.7960894,0.335695636,1422.4153705397987
99,114.9471369,0.444203316,1422.644098810613
100,115.0981844,0.440473365,1422.8728270814272
101,115.2492319,0.269912855,1423.1015553522416
102,115.4002794,0.338069241,1423.3302836230557
103,115.5513268,0.56593537,1423.55901189387
104,115.7023743,0.407581974,1423.7877401646845
105,115.8534218,0.176664067,1424.0164684354986
106,116.0044693,0.206503679,1424.245196706313
107,116.1555168,0.365874335,1424.4739249771271
108,116.3065643,0.558136381,1424.7026532479415
109,116.4576118,0.363839816,1424.9313815187556
110,116.6086593,0.231935167,1425.16010978957
111,116.7597067,0.272625547,1425.3888380603842
112,116.9107542,0.352310875,1425.6175663311985
113,117.0618017,0.294666169,1425.846294602013
114,117.2128492,0.254653962,1426.075022872827
115,117.3638967,0.287206266,1426.3037511436414
116,117.5149442,0.406225628,1426.5324794144556
117,117.6659917,0.52524499,1426.76120768527
118,117.8170391,0.321454003,1426.989935956084
119,117.9680866,0.206503679,1427.2186642268985
120,118.1191341,0.233969686,1427.4473924977128
121,118.2701816,0.430978943,1427.676120768527
122,118.4212291,0.413685531,1427.9048490393413
123,118.5722766,0.315350446,1428.1335773101555
124,118.7233241,0.244481367,1428.3623055809699
125,118.8743715,0.41572005,1428.591033851784
126,119.025419,0.459462209,1428.8197621225984
127,119.1764665,0.297039775,1429.0484903934125
128,119.327514,0.22583161,1429.277218664227
129,119.4785615,0.258044827,1429.5059469350413
130,119.629609,0.482181004,1429.7346752058554
131,119.7806565,0.528974942,1429.9634034766698
132,119.9317039,0.34790275,1430.192131747484
133,120.0827514,0.220406226,1430.4208600182983
134,120.2337989,0.314672273,1430.6495882891124
135,120.3848464,0.452680479,1430.8783165599268
136,120.5358939,0.307890543,1431.1070448307412
137,120.6869414,0.202434641,1431.3357731015553
138,120.8379889,0.346546404,1431.5645013723697
139,120.9890363,0.523888644,1431.7932296431838
140,121.1400838,0.442168797,1432.0219579139982
141,121.2911313,0.295683429,1432.2506861848124
142,121.4421788,0.153267098,1432.4794144556267
143,121.5932263,0.319080397,1432.7081427264409
144,121.7442738,0.431318029,1432.9368709972553
145,121.8953213,0.46319216,1433.1655992680696
146,122.0463688,0.295683429,1433.3943275388838
147,122.1974162,0.376725103,1433.6230558096981
148,122.3484637,0.430978943,1433.8517840805123
149,122.4995112,0.381472314,1434.0805123513267
150,122.6505587,0.226848869,1434.3092406221408
151,122.8016062,0.249567665,1434.5379688929552
152,122.9526537,0.36248347,1434.7666971637695
153,123.1037012,0.520836865,1434.9954254345837
154,123.2547486,0.397748466,1435.224153705398
155,123.4057961,0.257027568,1435.4528819762122
156,123.5568436,0.310942321,1435.6816102470266
157,123.7078911,0.47099115,1435.9103385178407
158,123.8589386,0.411311926,1436.139066788655
159,124.0099861,0.251263097,1436.3677950594692
160,124.1610336,0.262792038,1436.5965233302836
161,124.312081,0.363161643,1436.825251601098
162,124.4631285,0.568308976,1437.0539798719121
163,124.614176,0.46319216,1437.2827081427265
164,124.7652235,0.186158489,1437.5114364135407
165,124.916271,0.249567665,1437.740164684355
166,125.0673185,0.434708894,1437.9688929551692
